sub_category,median_reviews_nov,occurrence_count,prop_nov_years,cluster,median_reviews_nov_scaled,occurrence_count_scaled
Collectible Figures & Memorabilia,2.0794415416798357,5,0.3125,0,-0.09526146676682429,0.7670578361316337
Pirates,1.9459101490553132,7,0.4375,0,-0.21266238840128765,1.6761634196950514
"Slot Cars, Race Tracks & Accessories",1.9459101490553132,6,0.375,0,-0.21266238840128765,1.2216106279133425
Ravensburger,1.9356005054539454,6,0.375,0,-0.22172663641618598,1.2216106279133425
Knights & Castles,1.6094379124341003,5,0.3125,0,-0.5084890843364966,0.7670578361316337
VTech,2.995732273553991,1,0.0625,1,0.7103421766373061,-1.0511533309952017
DVD Games,2.6390573296152584,1,0.0625,1,0.39675324208561363,-1.0511533309952017
Brain Teasers,2.4849066497880004,1,0.0625,1,0.26122382442135383,-1.0511533309952017
Model Building Kits,2.452637389219215,2,0.125,1,0.2328526612306066,-0.5966005392134929
Thomas & Friends,2.3978952727983707,3,0.1875,1,0.18472334277064215,-0.14204774743178403
Rockers & Ride-ons,2.3978952727983707,1,0.0625,1,0.18472334277064215,-1.0511533309952017
Farm & Animals,2.1972245773362196,1,0.0625,1,0.008293485122630452,-1.0511533309952017
Beach Toys,2.0794415416798357,3,0.1875,1,-0.09526146676682429,-0.14204774743178403
Playsets,2.0794415416798357,1,0.0625,1,-0.09526146676682429,-1.0511533309952017
Dolls' House Dolls & Accessories,1.9560115027140732,4,0.25,1,-0.20378126909304572,0.3125050443499248
Art Sand,1.9459101490553132,3,0.1875,1,-0.21266238840128765,-0.14204774743178403
Shops & Accessories,1.791759469228055,3,0.1875,1,-0.34819180606554767,-0.14204774743178403
Party Tableware,1.791759469228055,1,0.0625,1,-0.34819180606554767,-1.0511533309952017
Finger Puppets,1.6479184330021646,2,0.125,1,-0.47465697571490933,-0.5966005392134929
Barbie,1.6094379124341003,1,0.0625,1,-0.5084890843364966,-1.0511533309952017
Seasonal Décor,1.6094379124341003,1,0.0625,1,-0.5084890843364966,-1.0511533309952017
Specialty & Decorative Lighting,1.6094379124341003,1,0.0625,1,-0.5084890843364966,-1.0511533309952017
3-D Puzzles,1.5890269151739727,4,0.25,1,-0.5264344516596368,0.3125050443499248
Dinosaurs,1.3862943611198906,3,0.1875,1,-0.7046770972537256,-0.14204774743178403
Pens & Refills,1.3862943611198906,1,0.0625,1,-0.7046770972537256,-1.0511533309952017
Board Games,1.3195286648076292,2,0.125,1,-0.7633775580709574,-0.5966005392134929
Painting By Numbers,1.2424533248940002,2,0.125,1,-0.8311422669030872,-0.5966005392134929
Sound Toys,1.1512925464970227,2,0.125,1,-0.9112909060385619,-0.5966005392134929
Remote Controlled Devices,1.0986122886681098,5,0.3125,1,-0.957607436552449,0.7670578361316337
Cowboys & Indians,1.0986122886681098,3,0.1875,1,-0.957607436552449,-0.14204774743178403
Toy Story,1.0986122886681098,2,0.125,1,-0.957607436552449,-0.5966005392134929
Erotic Clothing,1.0986122886681098,1,0.0625,1,-0.957607436552449,-1.0511533309952017
LeapFrog,1.0986122886681098,1,0.0625,1,-0.957607436552449,-1.0511533309952017
Sport,1.0986122886681098,1,0.0625,1,-0.957607436552449,-1.0511533309952017
Toy Vehicle Playsets,1.0986122886681098,1,0.0625,1,-0.957607436552449,-1.0511533309952017
Invitations,0.8958797346140275,2,0.125,1,-1.135850082146538,-0.5966005392134929
Tomy,0.8958797346140275,2,0.125,1,-1.135850082146538,-0.5966005392134929
Harry Potter,0.6931471805599453,5,0.3125,1,-1.314092727740627,0.7670578361316337
Spinning Tops,0.6931471805599453,4,0.25,1,-1.314092727740627,0.3125050443499248
"Sorting, Stacking & Plugging Toys",0.6931471805599453,3,0.1875,1,-1.314092727740627,-0.14204774743178403
Action Man,0.6931471805599453,2,0.125,1,-1.314092727740627,-0.5966005392134929
Colouring Pencils,0.6931471805599453,2,0.125,1,-1.314092727740627,-0.5966005392134929
Casino Equipment,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017
Fashion Dolls & Accessories,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017
"Labels, Index Dividers & Stamps",0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017
Military,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017
Rattles,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017
Rocking Horses,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017
WWE,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017
