sub_category,mean_reviews,median_reviews,std_reviews,mean_rating,count_years,trend_reviews_per_year,cluster
Schoolbags & Backpacks,33.00000000000001,33.00000000000001,0.0,4.1,1,0.0,2
Science Fiction & Fantasy,4.782608695652174,1.0,7.372359922118293,4.78695652173913,6,-1.5050183598528715,0
Seasonal Décor,3.9999999999999996,3.9999999999999996,0.0,4.0,1,0.0,2
Shops & Accessories,3.5000000000000004,2.5,3.1091263510296048,4.775,3,-1.8333333333339008,1
"Slot Cars, Race Tracks & Accessories",5.333333333333333,2.5,6.568981287194777,4.5,6,-2.081145584725238,0
Soft Dolls,2.2272727272727275,1.0,2.741772422597473,4.745454545454546,4,-1.54999999999901,1
"Sorting, Stacking & Plugging Toys",1.25,1.0,0.5,5.0,3,0.05263157894738064,1
Sound Toys,2.5,2.5,2.121320343559643,4.75,2,-1.4999999999999873,1
Specialty & Decorative Lighting,3.9999999999999996,3.9999999999999996,0.0,5.0,1,0.0,1
Spinning Tops,1.7499999999999998,1.0,1.5,5.0,4,-0.8999999999999662,1
Sport,2.0000000000000004,2.0000000000000004,0.0,4.5,1,0.0,1
Star Wars,31.650000000000002,3.0,52.02401193125111,4.715,7,4.604575163399268,0
Thomas & Friends,11.666666666666666,10.000000000000002,8.621678104251709,4.833333333333333,3,-1.0357142857142694,0
Tomy,1.5,1.5,0.7071067811865475,5.0,2,-0.333333333333344,1
Toy Story,1.3333333333333333,1.0,0.5773502691896258,4.666666666666667,2,0.5000000000000467,1
Toy Trains & Accessories,10.705882352941174,3.0,13.489647446664208,4.705882352941177,5,-3.650666666666744,0
Toy Vehicle Playsets,2.0000000000000004,2.0000000000000004,0.0,5.0,1,0.0,1
Toy Vehicles & Accessories,4.387755102040816,1.0,10.571926111764242,4.726530612244898,8,-1.743797110552771,0
Trading Cards & Accessories,4.972222222222222,2.0000000000000004,7.492800777550643,4.736111111111111,8,-0.47343565525265774,0
Trivia & Quiz Games,33.25,14.999999999999998,47.696086492150144,4.65,3,-8.162921348315074,3
Unknown,8.210526315789474,2.0000000000000004,18.37557494028323,4.7631578947368425,8,-0.595541224217418,0
VTech,18.999999999999996,18.999999999999996,0.0,4.3,1,0.0,2
WWE,1.0,1.0,0.0,5.0,1,0.0,1
